#white first move
#kings pawn
#rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -;e2e4

#queens pawn
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -;d2d4

#second move
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6;g1f3


#black first move
#react to e4:e5
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3;e7e5
#second move
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -;b8c6

#react to d4:d5
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3;d7d5



#london shitstem white
#react to d5:bf4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq d6;c1f4
#react to nf6:nf3
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -;g1f3
#react to c2c5:e2e3
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq c6;e2e3
#react to b8c6:c2c3
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -;c2c3
#react to f6h5:d4c5
r1bqkb1r/pp2pppp/2n5/2pp3n/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -;d4c5
#sub_react to c5c4:b2b3
r1bqkb1r/pp2pppp/2n2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -;b2b3


#london shitstem black
#react to f4:nf6
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -;g8f6
#react to nf3:c8c5
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq -;c7c5
#react to e2e3:b8c6
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -;b8c6
#react to c2c3:f6h5
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -;f6h5




#scandinavian defense or something for white
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq d6;e4d5
rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq -;b1c3
rnb1kbnr/ppp1pppp/4q3/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -;f1e2



#sisilian defence
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6;g1f3

#fr*ch defense
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -;d2d4
